sample_collect_date,pcr_target_flowpop_lin
2022-08-22,4747135.86941
2022-08-29,733166.59879
2022-09-05,767163.36592
2022-09-12,697335.14847
2022-09-19,406247.58676
2022-09-26,630652.81862
2022-10-03,581420.37431
2022-10-10,1860943.417
2022-10-17,2276243.14429
2022-10-24,49488605.80868
2022-10-31,142691724.53408
2022-11-07,6462302.74432
2022-11-14,4518209.99938
2022-11-21,617991.4549
2022-11-28,9951753.38346
2022-12-05,933130.23856
2022-12-12,6601392.74118
2022-12-19,2021394.73592
2022-12-26,3851178.80229
2023-01-02,1797537.96069
2023-01-09,1838815.38068
2023-01-16,1134827.6046
2023-01-23,787842.49809
2023-01-30,1090731.9889
2023-02-06,631697.523
2023-02-13,4578286.94491
2023-02-20,862499.46122
2023-02-27,2591609.45032
2023-03-06,1921782.9389
2023-03-13,1287633.7679
2023-03-20,1151232.94008
2023-03-27,1701814.78644
2023-04-03,1659899.84203
2023-04-10,994124.33354
2023-04-17,978416.1234
2023-04-24,987997.91198
2023-05-01,893136.2959
2023-05-08,850907.39322
2023-05-15,1269814.52236
2023-05-22,755100.81837
2023-05-29,594994.03517
2023-06-05,575746.63048
2023-06-12,901335.5258
2023-06-19,706435.48828
2023-06-26,945091.84682
2023-07-03,722402.61699
2023-07-10,698643.50522
2023-07-17,687808.62159
2023-07-24,820170
2023-07-31,1022590.47315
2023-08-07,728781.91699
2023-08-14,1115512.59092
2023-08-21,863107.4143
2023-08-28,891869.29638
2023-09-04,1002117.60211
2023-09-11,821925.25409
2023-09-18,829533.67558
2023-09-25,1064718.85714
2023-10-02,1123365.10791
2023-10-09,851222.67919
2023-10-16,1232856.34123
2023-10-23,1220791.5
2023-10-30,2571990.03
2023-11-06,3645118.01348
2023-11-13,4301926.81654
2023-11-20,7896971.69486
2023-11-27,8512212.25338
2023-12-04,8812284.2115
2023-12-11,5921884.79344
2023-12-18,4971999.75042
2023-12-25,4667240.37062
2024-01-01,9554460.74174
2024-01-08,8996265.12943
2024-01-15,3585068.92499
2024-01-22,5184105.3
2024-01-29,2742610.80395
2024-02-05,3197066.03437
2024-02-12,2138888.95909
2024-02-19,1909288.83076
2024-02-26,1700285.98007
2024-03-04,1299094.0644
2024-03-11,1241947.82455
2024-03-18,851715
2024-03-25,874960.38432
2024-04-01,817189.7311
2024-04-08,925151.76
2024-04-15,628733.22977
2024-04-22,673239.26962
2024-04-29,567810
2024-05-06,675339.71955
2024-05-13,598463.26077
2024-05-20,678903.26087
2024-05-27,511029
2024-06-03,511029
2024-06-10,551840.34375
2024-06-17,519777.81648
2024-06-24,584033.14286
2024-07-01,506117.58629
2024-07-08,532321.875
2024-07-15,545971.15385
2024-07-22,487714.48524
2024-07-29,464310.96113
2024-08-05,550935.74671
2024-08-12,597129.64364
2024-08-19,607111.32139
2024-08-26,556943.41514
2024-09-02,576872.57854
2024-09-09,522301.67324
2024-09-16,539884.93979
2024-09-23,559871.56195
2024-09-30,623276.41145
2024-10-07,531698.69136
2024-10-14,646568.45085
2024-10-21,644313.3367
2024-10-28,738123.94706
2024-11-04,869124.26392
2024-11-11,1013279.51382
2024-11-18,1199722.76053
2024-11-25,1364636.7
2024-12-02,1938583.63636
2024-12-09,2653467.10609
2024-12-16,2675112.5981
2024-12-23,2969119.14474
2024-12-30,4319013.48553
2025-01-06,3801865.40846
2025-01-13,3256424.46533
2025-01-20,3819441.06982
2025-01-27,4952243.02345
2025-02-03,2876363.22857
2025-02-10,3089881.07952
2025-02-17,3077725.86637
2025-02-24,2558341.37888
2025-03-03,2519463.8196
2025-03-10,2236827.27273
2025-03-17,1879552.97337
2025-03-24,1422931.86
2025-03-31,1437907.33813
2025-04-07,1096090.0918
2025-04-14,1122073.74768
2025-04-21,715081.50247
2025-04-28,632702.57143
2025-05-05,849808.12101
2025-05-12,821153.2101
2025-05-19,691310.02528
2025-05-26,611866.28815
2025-06-02,688568.81896
2025-06-09,596012.81825
2025-06-16,622962.6554
2025-06-23,509952.58294
2025-06-30,522982.89474
2025-07-07,583089.25091
2025-07-14,632393.66024
2025-07-21,680534.41918
2025-07-28,486101.71084
2025-08-04,522982.89474
2025-08-11,571328.40749
2025-08-18,575724.18986
2025-08-25,490461.66
2025-09-01,476794.74546
2025-09-08,522982.89474
2025-09-15,563796.36562
2025-09-22,576002.40964
2025-09-29,565591.14244
2025-10-06,587589.84152
2025-10-13,560763.07733
2025-10-20,556943.41514
2025-10-27,658000.9404
2025-11-03,827489.7018
2025-11-10,753789.82495
2025-11-17,1047521.124
2025-11-24,808058.57077
2025-12-01,1152513.87913
2025-12-08,1470525.59189
2025-12-15,1582494.23721
2025-12-22,1365813.24324
2025-12-29,1807726.90299
2026-01-05,1709472.75833
2026-01-12,2043308.67926
2026-01-19,1911063.12323
2026-01-26,2496066.50289
2026-02-02,2112519.57988
2026-02-09,2288420.75806
2026-02-16,2904748.57813
2026-02-23,2637828.7068
2026-03-02,2638443.90567
2026-03-09,2613646.63636
2026-03-16,2512518.83061
2026-03-23,2763504.93722
2026-03-30,1760264.53227
2026-04-06,2119104.774
2026-04-13,1494859.19175
2026-04-20,1173474
2026-04-27,1077266.70373
2026-05-04,1170476.12969
2026-05-11,961996.32
2026-05-18,920715.83901
2026-05-25,1013946.42857
2026-06-01,1061571.78052
2026-06-08,748143.66039
2026-06-15,209193.15789
