sample_collect_date,pcr_target_flowpop_lin
2021-12-13,112276.36641
2022-01-03,114819.84396
2022-01-10,572512.57486
2022-01-24,196801.5759
2022-02-14,192584.39928
2022-02-28,193990.12482
2022-03-07,320538.66978
2022-03-14,198207.30145
2022-03-21,163362.42538
2022-03-28,429341.48338
2022-04-04,191178.67374
2022-04-11,183742.62845
2022-04-18,183742.62845
2022-04-25,369491.22813
2022-05-02,184150.04602
2022-05-16,209060.02178
2022-05-23,119496.03011
2022-05-30,206388.77736
2022-06-06,426490.78238
2022-06-13,497376.22271
2022-06-20,209961.92239
2022-10-31,187939.07344
2022-11-07,264373.17022
2022-11-14,146197.0808
2022-11-21,204209.54096
2022-11-28,234402.65288
2022-12-05,291033.01817
2022-12-12,228554.76965
2022-12-19,318070.03658
2022-12-26,414962.28278
2023-01-02,385960.29331
2023-01-09,401475.21484
2023-01-30,200304.89544
2023-02-13,220558.33757
2023-02-20,106262.71866
2023-09-18,411095.83501
2023-10-09,204181.76438
2023-10-23,371338.01731
2023-10-30,3268299.24331
2023-11-06,222698.51274
2023-11-13,373043.01603
2023-11-20,371338.01731
2023-12-04,388426.23318
2023-12-11,469247.17591
2023-12-18,488417.1447
2023-12-25,465166.46708
2024-01-01,802775.27872
2024-01-08,662554.82026
2024-01-15,478351.75953
2024-01-22,343518.59168
2024-01-29,1240652.70347
2024-02-05,214364.01647
2024-02-12,1113763.21108
2024-02-19,364739.39582
2024-02-26,410711.84625
2024-03-11,706206.55211
2024-03-18,586226.73806
2024-03-25,564048.09032
2024-04-01,434504.49888
2024-04-08,337028.19775
2024-04-15,316960.5638
2024-04-22,296608.84395
2024-04-29,1721230.04402
2024-05-06,503336.22004
2024-05-13,349253.7037
2024-05-20,687015.68727
2024-05-27,230689.19668
2024-06-03,620940.07832
2024-06-10,533635.06854
2024-06-17,287945.40879
2024-06-24,274326.36919
2024-07-01,1007441.91345
2024-07-08,230689.19668
2024-07-15,295774.74016
2024-07-22,476682.09927
2024-07-29,456277.15804
2024-08-05,199559.0701
2024-08-12,282396.03495
2024-08-19,419736.64235
2024-08-26,554946.30597
2024-09-02,352539.08462
2024-09-09,283905
2024-09-16,310960.53661
2024-09-23,255540.05401
2024-09-30,267998.60781
2024-10-07,261998.64927
2024-10-14,264978
2024-10-21,315450
2024-10-28,267681.85714
2024-11-04,280364.16417
2024-11-11,340686
2024-11-18,354881.25
2024-11-25,388914.99868
2024-12-02,390369.375
2024-12-09,371249.7085
2024-12-16,414366.10714
2024-12-23,470370.09665
2024-12-30,490583.56449
2025-01-06,340686
2025-01-13,315450
2025-01-20,340686
2025-01-27,313222.63901
2025-02-03,428914.93846
2025-02-10,407378.79773
2025-02-17,388949.85
2025-02-24,397467
2025-03-03,354881.25
2025-03-10,343724.07733
2025-03-17,333101.68071
2025-03-24,312520.12384
2025-03-31,309193.36356
2025-04-07,276334.2
2025-04-14,303988.04814
2025-04-21,265137.6718
2025-04-28,295734.375
2025-05-05,291972.19166
2025-05-12,344562.32617
2025-05-19,302832
2025-05-26,295261.2
2025-06-02,283802.04528
2025-06-09,264978
2025-06-16,303988.04814
2025-06-23,283905
2025-06-30,303988.04814
2025-07-07,309624.47288
2025-07-14,295734.375
2025-07-21,313222.63901
2025-07-28,299955.47142
2025-08-04,340686
2025-08-11,333101.68071
2025-08-18,354881.25
2025-08-25,371249.7085
2025-09-01,340686
2025-09-08,371249.7085
2025-09-15,354881.25
2025-09-22,361541.03199
2025-09-29,414366.10714
2025-10-06,375973.01185
2025-10-13,342853.21326
2025-10-20,358616.84211
2025-10-27,333518.21706
2025-11-03,358616.84211
2025-11-10,355847.12076
2025-11-17,340686
2025-11-24,347922.79412
2025-12-01,354881.25
2025-12-08,407378.79773
2025-12-15,427459.01538
2025-12-22,437219.77608
2025-12-29,615127.5
2026-01-05,511281.28868
2026-01-12,473175
2026-01-19,473175
2026-01-26,568522.77482
2026-02-02,559275.20032
2026-02-09,500837.53846
2026-02-16,504108.18059
2026-02-23,502161.79463
2026-03-02,394697.19512
2026-03-09,424260.53437
2026-03-16,432625.7952
2026-03-23,388949.85
2026-03-30,424260.53437
2026-04-06,387143.18182
2026-04-13,390369.375
2026-04-20,341231.97115
2026-04-27,357342.00655
2026-05-04,354881.25
2026-05-11,432625.7952
2026-05-18,355847.12076
2026-05-25,451090.36743
2026-06-01,446136.42857
2026-06-08,356861.4978
2026-06-15,371249.7085
