sample_collect_date,pcr_target_flowpop_lin
2024-12-09,273545.65036
2024-12-16,272591.81688
2025-01-27,492528.96294
2025-02-03,285601.78925
2025-02-10,268860.20824
2025-02-17,229487.76205
2025-02-24,355434.1646
2025-03-03,24342.44873
2025-03-10,22014.42872
2025-03-17,21213.81044
2025-03-24,21958.15467
2025-03-31,24791.3772
2025-04-07,2362.46518
2025-04-14,2362.46518
2025-04-21,21800.97267
2025-04-28,37238.30896
2025-05-05,33425.60524
2025-05-12,21800.97267
2025-05-19,21885.36354
2025-05-26,65116.40584
2025-06-02,65116.40584
2025-06-09,230689.19668
2025-06-16,515356.70139
2025-06-23,367465.17361
2025-06-30,534432.06344
2025-07-07,308861.09068
2025-07-14,561233.76366
2025-07-21,332343.39341
2025-07-28,261057.01523
2025-08-04,261998.64927
2025-08-11,261998.64927
2025-08-18,264978
2025-08-25,250164.11499
2025-09-01,271287
2025-09-08,261998.64927
2025-09-15,261057.01523
2025-09-22,261057.01523
2025-09-29,251003.74679
2025-10-06,243347.14286
2025-10-13,244955.46374
2025-10-20,243347.14286
2025-10-27,249836.4
2025-11-03,250164.11499
2025-11-10,236975.43757
2025-11-17,243347.14286
2025-11-24,250624.38122
2025-12-01,236587.5
2025-12-08,246873.91304
2025-12-15,236784.77568
2025-12-22,249836.4
2025-12-29,253064.86442
2026-01-05,251991.09502
2026-01-12,253894.3488
2026-01-19,258010.41662
2026-01-26,255540.05401
2026-02-02,255468.91989
2026-02-09,261998.64927
2026-02-16,260922.70235
2026-02-23,258353.55
2026-03-02,267998.60781
2026-03-09,264978
2026-03-16,267681.85714
2026-03-23,261230.21715
2026-03-30,255540.05401
2026-04-06,247664.32682
2026-04-13,249221.65326
2026-04-20,262052.24677
2026-04-27,249836.4
2026-05-04,261523.6553
2026-05-11,260772.35904
2026-05-18,253486.60714
2026-05-25,271890.01436
2026-06-01,253486.60714
2026-06-08,252883.48492
2026-06-15,246873.91304
