sample_collect_date,pcr_target_flowpop_lin
2020-03-02,3487510.4291
2020-03-09,1014840.28998
2020-03-23,709741.24531
2020-04-20,1114701999.64598
2020-05-04,5359741.48718
2020-05-11,213001546.15385
2020-05-18,11234804.29097
2020-05-25,1097790.0544
2020-06-01,27160194.86057
2020-06-08,1595979.84375
2020-06-22,2865224.87053
2020-06-29,6407441771.41001
2020-07-06,43214077.92596
2020-07-13,35208446.94144
2020-07-20,7332394.86047
2020-07-27,72162593.50443
2020-08-03,1201538.57515
2020-08-10,4296596.58118
2020-08-17,14601744.82156
2020-08-24,3011117.49247
2020-08-31,10286268.01133
2020-09-07,5690636.08805
2020-09-14,9033532.2107
2020-09-21,7321953.17691
2020-09-28,12614418.20634
2020-10-05,2690025.83459
2020-10-12,6027765.15814
2020-10-19,13485426.69385
2020-10-26,21877159.81874
2020-11-02,4417692.28735
2020-11-09,29789078.99988
2020-11-16,20119575.22709
2020-11-23,33668987.71553
2020-11-30,28650895.14638
2020-12-07,58243266.44169
2020-12-14,22026185.21728
2020-12-21,20392183.7702
2020-12-28,52282294.84666
2021-01-04,23685883.64565
2021-01-11,34110997.74713
2021-01-18,17557012.02458
2021-01-25,13138854.23587
2021-02-01,18589097.22738
2021-02-08,15108987.0094
2021-02-15,22646533.50306
2021-02-22,22526974.07428
2021-03-01,10854102.96577
2021-03-08,4406864.2189
2021-03-15,8641549.71875
2021-03-22,8329093.44765
2021-03-29,12419410.86413
2021-04-05,6939029.57552
2021-04-12,8626772.76226
2021-04-19,8645472.43125
2021-04-26,9194879.08582
2021-05-03,6086588.53494
2021-05-10,3644698.29997
2021-05-17,5206726.74705
2021-05-24,2493960.43146
2021-05-31,2242619.38781
2021-06-07,1319279.42143
2021-06-14,2140740.11271
2021-06-21,1568143.23252
2021-06-28,9789701.13853
2021-07-05,6627533.20362
2021-07-12,7176282.40573
2021-07-19,10094413.69052
2021-07-26,14183579.22886
2021-08-02,11219461.18905
2021-08-09,19712130.41292
